	ENGLISH	PART OF SPEECH	ODIA	INPUT
1	-arian	Suffix	-ରେ ବିଶ୍ୱାସ ରଖୁଥିବା	a
2	a	Ns	ଏକ /କୌଣସି / ପ୍ରତି ପ୍ରତ୍ୟେକ	a
3	a few	Det	କିଛି	a
4	a fight to the finish	IDM	ନିର୍ଣାୟକ ଲଢ଼େଇ	a
5	A fighting chance	IDM	କାର୍ଯ୍ୟର ସଫଳତାର ଅଳ୍ପ ଆଶା	a
6	a fly on the wall	IDM	ବିନା ମହତ୍ୱର ବ୍ୟକ୍ତି	a
7	a la	Prep	ର ଶୈଳୀରେ	a
8	a la carte	Adj	ବ୍ୟଂଜନ ସୂଚୀ(ଖାଦ୍ୟ ତାଲିକା ବା ମେନୁ)ରୁ(French)	a
9	a la mode	Adj	ପ୍ରଚଳିତ ଢଙ୍ଗର ରୁଚି ସମ୍ମତ(ବେଶଭୂଷା ରୀତି ଖାଦ୍ୟ ପଦାର୍ଥ ଆଦର୍ଶ	a
10	A level	Ns	ଉଚ୍ଚ ସ୍ତରୀୟ	a
11	a matter of course	Ns	ସ୍ୱାଭାବିକ କଥା	a
12	a matter of openion	Ns	ବିଚାରଣୀୟ ବିଷୟ	a
13	a/the fly in the ointment	IDM	କାମ ଖରାପ କରିବାବାଲା	a
14	aback	Adv	ପଛକୁ ହତପ୍ରଭ	a
15	abacus	Ns	ଗଣନ ପଟା	a
16	abaft	Ns	ଜାହାଜର ପଛ ଭାଗରେ ବା ସେହି ଦିଗକୁ	a
17	abandon	V	ପରିତ୍ୟାଗ	a
18	abandoned	Adj	ପରିତ୍ୟକ୍ତ	a
19	abandonment	Ns	ପରିତ୍ୟାଗ	a
20	abase	V	ଅବସ୍ଥାପିତ କରିବା	a
21	abashed	Adj	ଲଜ୍ଜିତ	a
22	abate	V	କମ୍ ହେବା	a
23	abatement	Ns	ଅଳ୍ପତା	a
24	abattoir	Ns	କଂସେଇଖାନା	a
25	abbess	Ns	ମଠାଧ୍ୟକ୍ଷା	a
26	abbey	Ns	ଈଶାଇମାନଙ୍କ ମଠ	a
27	abbot	Ns	ମଠାଧ୍ୟକ୍ଷ	a
28	abbreviate	VT	ସଂକ୍ଷେପିକରଣ	a
29	abbreviation	Ns	ସଂକ୍ଷିପ୍ତ	a
30	abdicate	V	ନିଜ ଇଚ୍ଛାରେ ଛାଡ଼ି ଦେବା	a
31	abdication	Ns	ପଦତ୍ୟାଗ	a
32	abdomen	Ns	ତଳିପେଟ	a
